query	target	pident	ug_alnlen	y_true
O28362	O59425	34.5	82	1
O74025	Q58923	56.1	219	1
Q13087	P07237	45.5	501	1
P09384	P07363	84.6	654	1
Q39734	Q39735	93.4	952	1
P08515	P56598	59.9	216	1
P33198	P54071	96.1	420	1
P22307	P32020	89.2	547	1
P94494	P10724	41.9	379	1
Q12284	P55789	38.8	103	1
P56690	P41972	28.9	820	1
Q15031	P96142	18.2	615	1
O15269	O15270	26.6	382	1
Q9KPS1	Q56586	86.5	446	1
P32491	P32490	55.2	477	1
P05024	P54707	64	1021	1
Q23500	P28271	63.4	884	1
P00491	P55859	86.5	289	1
P16622	P22830	48.1	362	1
P48637	P46413	88.1	474	1
O24174	P17202	71.5	497	1
P19496	P80489	38.5	404	1
Q9Y3E5	O74017	50	116	1
P37330	P42450	54.8	715	1
P61823	P00669	83.3	150	1
P25857	P19866	70.2	396	1
P13702	Q59468	21.9	339	1
P00952	P0AGJ9	56.3	416	1
P06132	P32347	50	350	1
P46467	Q9UBP0	28.7	394	1
P74881	Q9X0X3	17.8	580	1
P14324	P08524	44.1	347	1
P00727	Q10712	26.9	482	1
P00736	P09871	37.3	664	1
Q01532	Q13867	38.4	443	1
P76251	P37412	35.3	349	1
P25325	P97532	84.8	297	1
Q9ULC6	Q9UM07	56.6	657	1
P21182	P17707	29.3	324	1
Q13554	P11275	61	478	1
P32170	P12851	12.8	357	1
P21643	P48776	96.3	406	1
P69327	P08017	33.1	422	1
P22315	P22830	88.1	420	1
Q58293	P38793	16	323	1
P80595	O75354	27.5	411	1
P49326	P97872	84	533	1
Q16720	Q9R0K7	82.8	1197	1
P52704	P52705	76.7	257	1
Q23977	O14733	56.1	367	1
P17811	P09169	47.6	309	1
P16870	Q00493	96.6	476	1
P21685	P17054	41.4	483	1
P00947	P07445	33	125	1
P29476	P29475	93.5	1429	1
P18187	Q06173	64	313	1
P33317	P33316	52.7	143	1
P32962	P32961	90	339	1
P98002	P00395	51.3	505	1
O09110	P46734	96.5	347	1
P23738	Q43908	20.8	476	1
P13955	P0ABQ4	35	156	1
P36551	P36553	46	292	1
P98072	P98073	81.1	1019	1
P13006	P81156	64.7	584	1
Q09200	Q00973	86.8	533	1
P06784	Q13163	37.8	308	1
O88496	P38435	88.1	758	1
P21980	Q08188	37.1	677	1
P24478	P09989	96.5	289	1
P49662	P51878	69.6	372	1
P35355	Q05769	96	604	1
Q9L1L8	P00512	41	315	1
O07835	P80521	17.4	329	1
O23627	P38088	43.5	622	1
Q12923	P17706	32.1	280	1
P26512	P10869	22	375	1
P50384	P19971	12.5	300	1
P06858	P11151	93.8	442	1
P28650	Q96529	45.6	450	1
O58966	Q9Y9L0	55.7	213	1
O24035	P31663	40	281	1
O15270	O15269	24.6	433	1
