query	target	pident	ug_alnlen	y_true
O55143	P04191	84.3	994	1
P43410	P43408	81.7	192	1
P12851	P15587	68.1	386	1
P14900	P45066	19.6	411	1
P77671	Q59699	27.2	436	1
P41277	P40106	92.4	250	1
P44801	P0A9Q9	72	366	1
Q06518	P35228	80.5	1147	1
Q16774	Q64520	88.2	196	1
P00722	P00723	28.3	932	1
P17948	P35916	37.5	1253	1
P97872	P49326	84	533	1
P98073	P98072	81.1	1019	1
Q29460	Q61205	94.4	231	1
O74933	Q16851	16.8	350	1
P26918	P52699	20.5	229	1
P37945	P0A9M0	55.2	771	1
P22337	P22243	86.3	396	1
P04785	P07237	93.7	507	1
Q9Z0H0	P50582	20.7	383	1
P22513	Q27890	84.3	357	1
P25858	P56649	70.6	328	1
Q14353	P75876	14.7	183	1
P04191	O55143	84.3	994	1
Q9V011	P00959	32.2	664	1
P22088	P26876	36.7	305	1
P56649	P04406	72.4	329	1
P04958	P10844	40.1	1269	1
O75936	P37610	16	227	1
P44916	Q08291	24.2	282	1
Q9LEL5	Q9LEL6	52.6	338	1
O73888	O35543	69.8	199	1
P11466	P43155	32.6	576	1
P49017	P15565	9.2	244	1
O57978	Q58987	52.8	230	1
P19079	P32320	50.3	127	1
P26637	P96142	14.6	752	1
P36623	P00950	40.3	202	1
Q9UUA2	P07271	34.5	683	1
O09171	Q93088	92.5	402	1
P21397	P21396	87.2	526	1
Q9R0K7	P11506	95.9	1198	1
P80461	P39051	40.6	460	1
Q9ZLB9	P00805	49.8	329	1
P46799	P06612	36.4	566	1
P46439	P21266	71.8	217	1
P48609	O35831	54.7	281	1
P07363	P09384	84.6	654	1
P54071	P33198	96.1	420	1
P21553	P80148	57.5	375	1
P07338	P00766	75.5	245	1
P00808	P28585	38.7	287	1
Q92630	O43781	58.5	576	1
P10688	P51178	91.2	756	1
P08524	P14324	44.1	347	1
Q9UHK6	P70473	77.7	382	1
P15623	Q60182	17.3	400	1
P24031	P15309	13.5	329	1
O29632	Q9HH07	52.3	553	1
P08103	P07948	69.9	503	1
P22033	P11653	58.3	718	1
P00864	Q01647	38.9	882	1
O73984	Q9NSD9	28.4	549	1
P46462	Q9UBP0	34.6	279	1
P32396	O42479	25.8	306	1
P48452	P62136	34	295	1
