query	target	pident	ug_alnlen	y_true
P21399	P28271	93.3	889	1
P05986	P40376	47.2	387	1
P16228	P70269	92.7	397	1
P05982	Q64669	93.7	274	1
O66949	P15640	53.5	419	1
P54493	P46116	26.9	226	1
O35952	Q16775	84.7	308	1
Q9X0I6	Q9ZBQ7	39.4	229	1
Q08493	P54748	63.3	689	1
Q12178	P47058	19.8	136	1
P44514	P23908	23.7	356	1
P17597	P37251	45.9	564	1
P52903	P08559	47	380	1
P56709	Q9HH07	78.1	553	1
P15454	Q16774	51.9	179	1
P17109	P23970	27.5	539	1
Q56063	P31660	96.3	388	1
O70293	Q63651	46.1	555	1
P09838	P06526	80.1	509	1
P55210	P97864	82.1	303	1
Q01693	P80561	19.4	371	1
P10538	P16098	66.1	486	1
Q9HWR3	Q9RZA4	27.8	696	1
P29474	P29473	94.2	1203	1
P50308	P56153	49.1	168	1
Q9UJM8	Q07523	44.3	351	1
O13310	P18961	33.4	320	1
P27487	P22411	88.3	766	1
Q00796	P42328	28.5	332	1
P07805	P09057	65.6	403	1
P26443	P00367	97.8	558	1
P41216	P18163	94.7	699	1
P21836	P23795	89.9	613	1
P21685	P17054	41.4	483	1
P69924	O84835	20.5	305	1
Q54727	P10481	17.8	331	1
P15651	P12007	35.4	405	1
P80064	Q53586	30	341	1
P06745	Q9N1E2	89.4	558	1
O23087	P92939	65.4	1025	1
P15104	P15105	94.6	373	1
P93147	P93149	29.9	472	1
P25306	P20132	27.2	303	1
Q56589	Q9X4Q7	94.9	198	1
P06611	P68187	21.2	236	1
O73984	Q9RHV9	8.7	174	1
P14654	P14656	85.6	356	1
P47058	Q12178	20.3	132	1
P13667	P38659	88.4	629	1
P20425	P30085	50.7	187	1
Q9V1A5	Q9WZW0	30	267	1
P29476	P29475	93.5	1429	1
P00926	P20132	17.9	307	1
P51979	O73946	21.5	630	1
P81409	O57861	76	1262	1
Q40772	P10297	35.8	287	1
Q21773	Q18677	71.7	483	1
P15086	P09955	83.4	416	1
P08838	P23533	66.8	567	1
Q9UM07	Q9ULC6	56.6	657	1
P03951	P14272	58	624	1
P00441	P00442	81.8	152	1
P91887	P91885	65.2	940	1
P10844	P04958	40.1	1269	1
Q16850	Q64654	93.4	503	1
P32684	P37765	30.9	245	1
P36683	Q58409	23.2	398	1
P37064	P14133	82.6	542	1
O88908	P35610	45.1	522	1
P22637	P12676	58.5	503	1
Q38997	P47197	32.2	285	1
P33886	P08018	36.7	586	1
P18293	P16066	90.8	1057	1
P00439	P04176	92.2	452	1
O66937	Q59266	42.9	474	1
P08400	P23545	25.7	399	1
Q48296	Q51742	46.8	292	1
Q55338	P77918	49.3	296	1
P46419	P46439	46.9	213	1
P04825	P91887	15.8	795	1
P17571	P11035	73.7	615	1
P46354	P55859	46	271	1
P08559	P52903	47	380	1
P25858	P56649	70.6	328	1
P49903	P16456	24.4	318	1
P07639	P56081	36.3	338	1
Q07661	P15531	60.1	147	1
P34790	P62937	66.8	165	1
P94494	P10724	41.9	379	1
O60476	P31723	31.4	443	1
P30139	O31618	48.6	250	1
P32350	P51567	32.8	393	1
P17054	P21685	41.4	483	1
P05091	P47738	94.8	516	1
Q9Y5Z0	P56817	47.1	466	1
P14270	Q08499	97	803	1
P80078	P11653	28.1	127	1
O95865	O08557	49.2	274	1
P24300	P15587	94.3	387	1
P21348	Q49168	76.4	297	1
P13377	Q9N1E2	57.2	549	1
Q08713	P80857	84.8	211	1
Q46893	P42216	13.3	218	1
O14370	P47176	51	369	1
P49189	P05091	41.1	478	1
Q9HH09	P77961	43.3	459	1
Q43250	Q43255	57.1	525	1
P04036	Q9X1K8	29.5	213	1
P07140	P21836	34.6	583	1
O35493	P49759	78.6	479	1
P14555	P24027	45.8	138	1
P0A7Y0	Q9ZBQ7	38.6	210	1
P07872	Q15067	88.5	660	1
P51016	P35914	19.6	251	1
P27158	P04184	95	121	1
P05050	P42220	11.3	164	1
Q9WV54	Q13510	79.2	394	1
P07267	P18242	43.1	318	1
P05696	Q9WVC6	39.5	354	1
P55859	P00491	86.5	289	1
O55143	P04191	84.3	994	1
P30996	Q00496	60.1	1244	1
P23509	P15280	81.9	512	1
P15586	P15848	17.8	456	1
Q9Y463	Q9Z188	97.2	629	1
P30694	Q01647	94.5	966	1
Q06327	P29114	55.7	849	1
P06240	P06239	96.8	509	1
Q58409	Q99798	25.8	402	1
P00723	P00722	28.1	933	1
O24174	P17202	71.5	497	1
Q9ULW8	Q9UM07	55.6	655	1
P53629	O75907	18.7	429	1
P27302	P33570	75.3	661	1
P15531	O00746	57.5	146	1
P80461	P39051	40.6	460	1
P82385	O58810	74.1	115	1
P46799	P14294	19.3	519	1
Q92947	Q60759	86.3	435	1
P56965	O94760	94	285	1
Q9N1E2	P06744	93	558	1
Q9R0K7	P11506	95.9	1198	1
P80022	P80196	59.5	224	1
Q9UJ68	P54149	88.5	233	1
Q13510	Q9WV54	79.2	394	1
P32754	P32755	89.8	393	1
Q9X0X3	P74881	17.6	580	1
Q9X1K8	P04036	30.3	213	1
P51854	P29401	59.5	577	1
P23970	P17109	27.5	539	1
P38793	Q58293	16.3	323	1
Q99895	Q9UNI1	50.8	242	1
P34059	P08842	30	452	1
P26827	P30921	68	709	1
P30038	P25553	25.2	468	1
P19602	P09960	92.9	611	1
P00378	P00374	75.4	183	1
P48439	Q03723	18.1	283	1
P46597	Q9LEL6	18.9	333	1
P80053	P28997	42.6	412	1
P29473	P29474	94.1	1203	1
O34667	Q9ZMW8	44.5	151	1
P50227	P50225	84	295	1
P04072	Q14703	24.7	255	1
P56255	P03018	42.7	710	1
P50384	P39142	15.8	298	1
Q13867	P70645	93.6	454	1
Q52880	P07363	35.3	642	1
P18858	Q9YD18	34.4	584	1
P08246	P24158	54.3	238	1
Q02068	Q03217	54.8	320	1
P04058	P23795	58.4	536	1
Q05788	P55859	44.6	282	1
P04841	Q00922	76.2	662	1
P08524	P14324	44.1	347	1
P43886	P26841	22.2	80	1
P30920	P30921	71.9	710	1
Q06830	Q63716	97.4	199	1
P81989	P46354	36.4	256	1
P80522	O07835	19.4	187	1
Q9LEL5	Q9LEL6	52.6	338	1
Q64669	P05982	93.7	274	1
P17202	O24174	71.5	497	1
P25774	O70370	73.4	331	1
P56122	P27793	37.6	353	1
P07271	Q9UUA2	34.4	685	1
Q62371	Q08345	52.1	839	1
P43235	O70370	53.8	326	1
Q9LEL6	Q9LEL5	51.8	345	1
Q96286	P17707	33	325	1
P04062	P17439	86.4	515	1
P00586	P25325	58	296	1
P52731	O76074	27.3	752	1
P06132	P32347	50	350	1
P30084	P14604	86.8	290	1
P04035	P00347	93	887	1
P55264	P55263	91.1	361	1
P18054	P16050	65.4	662	1
P30838	P47739	80.3	453	1
P14489	P13661	25.2	257	1
P21161	P43387	54.8	262	1
P05030	P19456	35.4	822	1
Q14123	Q61481	66.1	536	1
P09384	P07363	84.6	654	1
P05062	P00883	69.7	364	1
O55137	P49753	76.2	419	1
P48729	P29295	61.6	305	1
Q55276	Q43503	35.1	410	1
P24027	P20474	66.6	138	1
P43346	P27707	93.4	260	1
P49761	O35492	88.4	638	1
Q9UKK3	P09874	20	535	1
P14080	P10056	65.7	348	1
P09874	Q9UKK3	20.1	529	1
O24990	P54616	44.5	255	1
Q9Z188	Q9Y463	97.2	629	1
Q9YGI5	P11936	58.7	281	1
P54753	P54759	54.1	936	1
Q01415	P51570	27.8	380	1
P08001	Q99895	35.9	261	1
P37433	P13633	25.3	310	1
Q9P4V2	O95394	47.7	521	1
Q38932	Q43503	31.7	487	1
P70698	P28274	56.7	566	1
P11344	P14679	85.7	529	1
Q18677	Q21773	71.7	483	1
O14556	P56649	67.6	330	1
Q48485	P37747	38.2	360	1
P40719	P45336	43.7	443	1
P18769	Q56310	23.7	570	1
Q92851	Q14790	31.6	435	1
O24396	Q96529	73.1	476	1
P55241	P23509	43.1	507	1
P04079	O59072	51.5	306	1
Q42536	P21218	87.1	401	1
P46920	P68187	30.3	234	1
P47190	P33775	31.5	665	1
O60911	P07711	77.2	333	1
P50528	P07934	33.3	255	1
P20960	Q02068	41.4	309	1
P15804	P30694	74	949	1
P14656	P38561	94.3	356	1
Q9X4Q6	Q57095	91.9	210	1
P32755	P32754	89.8	393	1
P33315	P23254	71.3	680	1
O00746	P15531	57.5	146	1
Q9ZHI0	O87703	48.4	659	1
P15445	P00598	96.6	118	1
P22557	P13196	56	556	1
P76518	P31572	22.2	365	1
Q46495	P22076	71.4	126	1
P46844	P53004	83.1	295	1
P32166	P32378	13.9	285	1
P72181	P24474	62.3	568	1
P24268	P18242	90.9	407	1
P49012	P06181	90.8	351	1
P23533	P51183	83.1	569	1
P00450	Q61147	83.3	1060	1
P09099	P19367	8.2	301	1
P54577	O29482	37.7	319	1
P16426	Q57146	84.6	183	1
P00362	O34425	61.8	333	1
O24035	P31663	40	281	1
O31410	Q9F2F0	53.6	182	1
P13633	P37433	25.3	310	1
Q16819	P28825	74.8	745	1
Q55664	P56109	39.2	305	1
P32397	P50336	24.8	442	1
P46655	P56926	29	519	1
Q61205	Q29460	94.4	231	1
P13154	O74024	25.7	332	1
P29475	P29476	93.5	1429	1
Q61147	P00450	83.3	1060	1
P25092	P16066	29.9	929	1
P0A7Y4	P29253	52.2	154	1
P49419	P25526	29.4	469	1
P06276	P04058	51.9	548	1
P09147	Q14376	52.3	336	1
P29253	P0A7Y4	55.4	145	1
Q59587	P50861	17.9	125	1
Q07009	P17655	93.7	700	1
P42679	P41242	87.1	505	1
P10719	P00830	76.1	489	1
P36583	P47197	42.7	344	1
P07288	P06870	60.3	261	1
P31013	P0A853	41.1	455	1
P47895	Q62148	69.2	510	1
P12013	P38720	47.4	465	1
Q59111	Q01103	20	219	1
Q27743	Q07841	28.8	295	1
P05156	Q61129	68.2	582	1
P54748	Q08493	63.5	693	1
P51649	P25526	55.3	475	1
Q39734	Q39735	93.4	952	1
P55939	Q38882	91.6	810	1
P00636	P09467	89.9	338	1
Q59288	Q54873	19.1	642	1
P77454	P13264	37	291	1
Q60048	O32220	32.5	699	1
Q59699	Q18677	44	495	1
P98072	P98073	81.1	1019	1
P50442	P50440	95.5	423	1
