query	target	pident	ug_alnlen	y_true
P05050	P42220	11.3	164	1
Q07009	P17655	93.7	700	1
P50308	P56153	49.1	168	1
P20051	O04904	33.5	337	1
P29295	P48729	61.6	305	1
P06999	P0A9J6	21	294	1
P45724	P35510	90.7	712	1
P26358	O88508	10.6	788	1
O50660	O52195	86.5	372	1
O58966	Q9Y9L0	55.7	213	1
P52097	P37563	23.1	417	1
P98200	Q9NTI2	94.5	1144	1
P00766	P07338	75.5	245	1
P26443	P00367	97.8	558	1
Q9UJM8	Q07523	44.3	351	1
P45877	P23284	69.8	189	1
P16184	P17719	28.5	180	1
P23738	Q43908	20.8	476	1
P38561	P14656	94.3	356	1
Q01330	P31922	10.3	364	1
P46063	P35187	38.1	565	1
P07140	P12337	23.6	528	1
Q57095	Q9X4Q6	91.9	210	1
Q56063	P31660	96.3	388	1
P04186	P00751	84	760	1
P47998	P16703	42.1	298	1
P45881	P20474	91.3	138	1
P46799	P06612	36.4	566	1
Q03471	O22340	10.2	271	1
P15086	P09955	83.4	416	1
P14920	P00371	84.7	347	1
P00817	Q15181	51.7	280	1
P0A6L0	Q9Y948	22.3	219	1
Q9X0X3	P74881	17.6	580	1
P23538	P42850	35.5	733	1
P52197	P31142	28.2	256	1
P13587	P98194	25.8	898	1
P35669	P46413	33.9	452	1
P80857	Q08713	84.8	211	1
P15104	P15105	94.6	373	1
P28313	P06181	43.2	338	1
P31434	P00693	8.2	311	1
P08524	P14324	44.1	347	1
P21218	Q42536	87.1	401	1
P24031	P15309	13.5	329	1
P21888	P56690	8.5	409	1
P00593	P00592	81.2	144	1
P18894	P14920	80.6	345	1
O09110	P46734	96.5	347	1
Q58517	O66914	17.2	176	1
Q55012	O22340	11.2	279	1
Q01401	P30538	23.2	578	1
Q9Z1K9	P78536	92.1	824	1
P19801	Q9TRC7	82.7	733	1
P40288	P50162	31.6	249	1
P33284	P04806	70.7	484	1
P00452	P23921	26.7	698	1
P08176	P43235	27.7	307	1
P07154	P06797	94.3	334	1
Q9UNP9	P62937	66	165	1
Q9LEL5	Q9LEL6	52.6	338	1
P49448	P26443	93.9	558	1
P31922	P49040	72.7	800	1
P00563	P06732	96.5	381	1
P54570	P44684	28.5	177	1
P56772	P80244	41.1	189	1
O13898	P33775	32.9	702	1
P43094	Q00663	41.7	367	1
Q9YD18	P18858	34.1	584	1
O15523	O00571	91.8	660	1
P11157	P31350	91.2	389	1
P21524	P23921	66.4	758	1
O43847	P35559	31	984	1
P00830	P10719	73.7	503	1
Q59111	P76458	20.4	207	1
Q96255	Q59196	48	360	1
P31723	O60476	32.1	442	1
P19573	Q51705	54.5	610	1
P00730	P09955	41.8	397	1
O15270	O15269	24.6	433	1
P11275	Q13554	61	478	1
O28050	O59651	54.9	717	1
P11388	Q02880	67.4	1519	1
P39054	P39055	63.9	816	1
P00375	P00374	89.8	187	1
P28777	P27793	52.9	360	1
P24478	P09989	96.5	289	1
P54869	P54868	89.3	508	1
P48776	P21643	96.3	406	1
P04762	P04040	88.9	527	1
P00742	P08709	37.5	406	1
Q9HZN8	P23919	23.9	192	1
P54493	P46116	26.9	226	1
Q13946	Q9QXQ1	58	438	1
P53759	Q06063	22.8	314	1
P22637	P12676	58.5	503	1
P10182	Q9ZLB9	42.3	328	1
P75820	P81717	22.4	132	1
Q9UJ68	P54149	88.5	233	1
P11562	P07964	56.2	245	1
P40852	P40106	19.2	204	1
O67463	P0A873	37.2	246	1
P47154	O75844	34.5	418	1
Q9UMR2	P29562	38	383	1
O07836	P80523	23.3	175	1
P36159	Q58897	18.8	259	1
P29350	Q06124	54.4	587	1
P0A9J6	P30235	20.5	299	1
Q9Z2W0	O36014	46.5	458	1
P31153	P13444	84.3	395	1
O02655	P17707	40.9	325	1
P24474	P24040	53.2	539	1
O57728	P00830	12.8	456	1
P49326	P97872	84	533	1
Q62867	Q92820	67.9	317	1
O81346	P93147	24.8	485	1
P28650	Q96529	45.6	450	1
P22894	P03956	56.9	464	1
P0A9M5	P00492	22	117	1
P39461	P08417	38.5	429	1
P30711	P04904	17.9	207	1
P56653	Q55777	18.9	130	1
P21310	P35510	29.4	463	1
P25858	P56649	70.6	328	1
Q02750	Q63980	97.7	393	1
P00492	P00497	16	110	1
P25814	P21513	18.3	72	1
P00396	P00395	91.4	512	1
P97571	P17655	62.5	696	1
P29051	O74024	47	408	1
O04904	P05020	53.7	346	1
O58801	P52429	10.7	198	1
P31512	Q99518	54.4	525	1
P11558	Q49605	72.8	549	1
P05020	O04904	53.7	346	1
Q9K3J3	Q07841	21.3	297	1
P19156	P09626	97.5	1033	1
P39524	P98200	43.8	1098	1
Q9Y6F1	Q9UGN5	34	505	1
Q14289	P54762	40.2	266	1
P33402	P19686	49	670	1
Q91604	Q38997	28.5	342	1
P98073	P98072	81.1	1019	1
P30538	Q01401	22	599	1
P35704	P32119	93.4	198	1
P06732	P00563	96.5	381	1
O25909	Q15274	31.5	270	1
P56153	P50308	49.4	169	1
P00722	P00723	28.3	932	1
Q04736	P08103	56.8	519	1
O59147	Q05506	26	549	1
Q29451	O09159	73.1	996	1
P98194	O75185	66.8	884	1
O59650	O74024	86.4	419	1
P27882	Q12284	31.3	102	1
P07773	P95607	28.9	263	1
P45748	P39153	32	173	1
Q53591	Q54873	48.6	958	1
P32397	P56601	27.7	445	1
P33570	P27302	75.3	661	1
P15019	P53228	68.6	332	1
Q96286	P17707	33	325	1
