query	target	pident	ug_alnlen	y_true
P25582	P75817	10.2	143	1
O60476	P31723	31.4	443	1
P00787	P07858	78.1	339	1
P97490	O95622	37	1096	1
P19602	P09960	92.9	611	1
P08078	P50440	36.9	334	1
P25704	P17182	83.6	434	1
O15296	P12527	41.6	667	1
P51545	P51541	76.7	353	1
P37981	O59570	53.7	175	1
P22253	P18133	91	400	1
Q43255	Q43250	57.1	525	1
P06870	P07288	60.3	261	1
Q10657	P00940	64.4	245	1
P81297	P43235	9.1	246	1
Q38882	P55939	91.6	810	1
Q12739	Q02497	63.2	511	1
P13716	P05373	52.4	328	1
P07824	Q61176	93.4	323	1
Q14318	P45523	21.6	102	1
Q92851	P70677	29.8	237	1
P22188	P15925	14.4	342	1
P32491	P32490	55.2	477	1
P34945	O58441	35.7	414	1
O00115	O62855	74	359	1
P32962	P32961	90	339	1
P23522	P76469	43	252	1
O43847	P35559	31	984	1
P14518	P14080	49.3	211	1
Q60860	Q16873	88	150	1
P80490	P19499	54.3	280	1
P14655	Q43127	76.9	424	1
Q9Y4K0	P16636	45.6	222	1
P46799	P06612	36.4	566	1
P05364	P00811	69.2	377	1
Q08325	P28002	9.8	204	1
P49326	P97872	84	533	1
P45578	P44007	69.2	166	1
P08246	P24158	54.3	238	1
P19643	P56560	86.5	520	1
P08183	P12866	25.1	1217	1
P53065	P55265	17.9	336	1
P37111	Q03154	87.7	407	1
P00784	P10056	72	343	1
O31410	Q9F2F0	53.6	182	1
Q21929	P40288	26.2	247	1
P53759	Q06063	22.8	314	1
P42801	Q38862	93.5	510	1
P13633	P37433	25.3	310	1
P53611	Q02293	27.2	302	1
P05618	P17692	86.8	713	1
Q9WYC9	Q62148	15.8	382	1
P51183	P23533	83.1	569	1
P06784	Q13163	37.8	308	1
P80561	Q01693	17.6	356	1
P16304	O82514	46.9	211	1
P54616	O24990	44.5	255	1
P77488	Q38854	47.2	603	1
P54802	P04062	10.4	295	1
O24474	O22340	64.6	625	1
P48570	Q12122	90.8	425	1
P79331	P15167	19.3	346	1
Q58517	P23509	15.7	188	1
P49040	P31922	73	797	1
P33198	P54071	96.1	420	1
P00452	P23921	26.7	698	1
P22418	P09467	43	330	1
O66490	P16304	44.1	203	1
P77791	P26841	31.8	88	1
P23921	P21524	66.7	752	1
Q63716	Q06830	97.4	199	1
P0A9J6	P30235	20.5	299	1
P15144	P16406	34.1	915	1
Q9RZA4	Q55168	33.3	700	1
Q03217	Q02068	55.6	315	1
P11558	Q49605	72.8	549	1
Q16850	Q64654	93.4	503	1
P39664	P23545	26.6	365	1
P75966	P37765	32.9	164	1
Q58037	Q58407	27.3	273	1
P56255	P03018	42.7	710	1
P04036	Q9X1K8	29.5	213	1
P14735	P35559	95.4	1019	1
P21865	Q55168	18.4	392	1
P05108	P00189	72.7	520	1
P13516	P07308	92.7	355	1
P00654	P00651	30	99	1
P45376	P50578	49.2	313	1
Q06402	P18485	65.3	473	1
P08541	P36511	77.9	530	1
P32166	P32378	13.9	285	1
Q49605	P11558	72.8	549	1
Q62190	P07332	35	263	1
P25858	P56649	70.6	328	1
O15382	P54687	56.1	383	1
Q07009	P17655	93.7	700	1
P27987	P42335	76.1	925	1
O09159	Q29451	73.1	996	1
P11466	P43155	32.6	576	1
P20815	P24462	81.7	502	1
P09169	P17811	47.6	309	1
P13264	O94925	94	666	1
Q43908	Q9Y600	27.3	454	1
Q9HBH1	Q9FV53	31.5	227	1
Q57261	Q08647	16.5	304	1
P25779	Q9UBX1	44.3	296	1
P10481	Q9UQ49	19.1	341	1
P31551	P14604	32.3	253	1
Q01062	O00408	92.2	910	1
Q55338	P77918	49.3	296	1
P04179	O93724	43.2	197	1
P23755	P04717	58.6	473	1
Q16851	P43123	17.4	347	1
Q59007	Q60326	35.6	387	1
P32947	P06276	24.8	478	1
P16635	Q04760	58.3	156	1
P30405	P62937	76	163	1
P47998	P16703	42.1	298	1
P30837	P05091	72.5	516	1
P30694	Q01647	94.5	966	1
P30084	P14604	86.8	290	1
P32783	P25087	15.8	216	1
P52731	O76074	27.3	752	1
P36551	P36553	46	292	1
P10632	P04799	29.2	471	1
P30431	P15167	64.6	375	1
P00761	P00760	82.2	231	1
P49590	P30053	21.3	400	1
P18293	P16066	90.8	1057	1
P28825	Q64230	87.1	746	1
O14733	Q23977	53.5	384	1
