query	target	pident	ug_alnlen	y_true
O74025	Q58923	56.1	219	1
P52197	P31142	28.2	256	1
P49590	P30053	21.3	400	1
P22073	P54818	8.8	274	1
Q96529	O24396	73.1	476	1
P56389	P32320	81.5	146	1
P12277	P06732	80.5	381	1
P00375	P00374	89.8	187	1
P33198	P54071	96.1	420	1
Q16853	O08590	82.4	763	1
P23247	P11446	19.2	282	1
P77454	P13264	37	291	1
Q9R0K7	P11506	95.9	1198	1
P39116	Q01172	17.9	324	1
Q64133	P21396	94.8	526	1
Q29551	P55809	89.8	520	1
Q04400	O95622	95.4	1259	1
P08536	Q12650	49.2	500	1
P28012	Q43056	80.1	217	1
P50227	P50225	84	295	1
Q08220	P35669	35.3	479	1
O94760	P56965	94	285	1
P09620	P16675	23	419	1
Q10258	P53128	47.1	583	1
P0AEJ4	P18392	23.1	409	1
Q05329	P48318	62.8	571	1
O09110	P46734	96.5	347	1
P81297	P43235	9.1	246	1
O66479	P46597	8.7	141	1
P39055	P27619	66.3	819	1
Q08345	Q62371	52.1	839	1
Q13393	P70496	90.6	1074	1
P19866	P25856	81.1	393	1
Q9Y617	Q96255	50.4	362	1
P48999	P12527	97.6	673	1
P09623	P09622	96.2	509	1
Q93088	O09171	92.5	402	1
Q06902	P00798	66.5	311	1
Q08291	P39464	29.4	287	1
P80490	P19499	54.3	280	1
Q42524	Q9S725	81.4	554	1
P0A6V1	P39669	57.2	412	1
Q9NRA0	Q9JIA7	83	616	1
Q16873	Q60860	88	150	1
P20960	Q02068	41.4	309	1
P55215	P29594	97.5	452	1
P35761	P33981	71.4	831	1
P47229	P77044	51	282	1
P15169	Q00493	52	391	1
P37981	O59570	53.7	175	1
P00798	Q06902	66.5	311	1
O57963	P56926	11.5	275	1
Q9UNI1	Q99895	50.8	242	1
O65355	Q92820	29.9	314	1
Q92947	Q60759	86.3	435	1
P14141	P16015	97.3	260	1
P41562	P33198	70	407	1
Q43077	P46883	27.7	615	1
P29208	P09104	10.8	261	1
P76341	O32142	35	107	1
P35187	P15043	28.1	608	1
O75891	P28037	91.7	902	1
Q55793	Q9Z1J3	24.2	360	1
P47923	O64903	63.4	230	1
P14868	P04802	57.5	482	1
Q9TVW2	Q9SF85	33	323	1
P16426	Q57146	84.6	183	1
Q96551	P31153	66	379	1
P50308	P56153	49.1	168	1
P07154	P06797	94.3	334	1
P87355	O00746	63.3	173	1
P00723	P00722	28.1	933	1
Q01062	O00408	92.2	910	1
P00943	P0A858	40	249	1
P38501	P25006	78.5	376	1
P42450	P37330	54.8	715	1
Q10657	P00940	64.4	245	1
O15217	P04904	54	220	1
P18291	P08311	55	242	1
P49760	O35491	96.6	498	1
Q9WZC6	P82385	56.3	123	1
P29930	P31570	39.8	194	1
Q63707	P32746	49.1	382	1
P55210	P97864	82.1	303	1
P80561	Q01693	17.6	356	1
P48570	Q12122	90.8	425	1
P00784	P10056	72	343	1
O70293	Q63651	46.1	555	1
P19496	P80489	38.5	404	1
P00370	P24295	53.2	441	1
P38576	P50308	49.1	167	1
Q59948	Q55367	76	145	1
P95474	Q9X2A4	17.5	240	1
P12851	P15587	68.1	386	1
Q12122	P48570	91	424	1
O57978	Q58987	52.8	230	1
P27338	P56560	91.5	520	1
Q9LVI8	P14656	87	354	1
Q08752	P34790	64.9	170	1
P14418	P20474	55.6	122	1
Q57961	P08536	15.1	144	1
O70589	Q13554	43.1	324	1
P20132	P09367	75.2	327	1
P23467	Q12913	24.2	1164	1
Q9LEL6	Q9LEL5	51.8	345	1
O67463	P0A873	37.2	246	1
P00452	P23921	26.7	698	1
P53611	Q02293	27.2	302	1
P04043	P55135	9.9	142	1
P35354	P79208	87.8	591	1
Q02971	Q38707	67.8	348	1
P04177	P07101	83.7	497	1
P14780	P41245	71.9	704	1
P42126	P23965	74.5	282	1
P75876	P55135	14.3	234	1
O95394	Q9P4V2	47.7	521	1
P29474	P29473	94.2	1203	1
P23470	P23469	32	680	1
O75715	P21762	10.6	151	1
Q58407	P04425	17.6	267	1
Q15181	P00817	51.7	280	1
P81383	O09046	37.2	459	1
P16098	P10538	66.6	484	1
Q02353	P52850	70	876	1
P15804	P30694	74	949	1
P80456	Q06278	84	1334	1
Q980R2	P36594	42.6	840	1
P07338	P00766	75.5	245	1
O14556	P56649	67.6	330	1
P09838	P06526	80.1	509	1
Q64521	P35571	95.5	713	1
P30921	P17692	88.9	713	1
Q92523	P32198	62.7	770	1
P16870	Q00493	96.6	476	1
P29350	Q06124	54.4	587	1
O29313	Q9HH09	43.6	457	1
P50225	P50227	84	295	1
Q16774	Q64520	88.2	196	1
Q58661	O64903	46.4	140	1
P06634	O15523	49.3	592	1
P08709	P00742	37.5	413	1
O00408	Q01062	92.2	910	1
P53228	P15019	68.6	332	1
Q00493	P16870	96.6	476	1
P28313	P06181	43.2	338	1
Q16513	P47197	45.2	349	1
Q9ULW8	Q9UM07	55.6	655	1
P20586	P42535	17.1	366	1
O15496	P24027	34.1	120	1
Q28824	P29294	87.3	1145	1
Q9SNN0	P07805	16.6	365	1
P06797	P07154	94.3	334	1
P26045	P29074	50.2	893	1
Q56589	Q9X4Q7	94.9	198	1
P11792	P18961	26.4	555	1
P39633	O74024	51	407	1
P26196	P29562	36.9	377	1
Q39761	Q40577	46.6	542	1
P21553	P80148	57.5	375	1
P51541	P51545	76.5	354	1
P51178	P10688	91.2	756	1
P13196	P22557	55.7	553	1
P09099	P19367	8.2	301	1
P07872	Q15067	88.5	660	1
P30074	Q02323	69.4	389	1
P28891	P30431	51.7	201	1
P39844	P39045	44.2	464	1
O14733	Q23977	53.5	384	1
P80324	P24552	29.2	330	1
P80857	Q08713	84.8	211	1
P15374	P35127	30.1	213	1
P37111	Q03154	87.7	407	1
P40351	P38179	10.9	415	1
Q9HH09	P77961	43.3	459	1
P70236	P52564	97.9	334	1
Q64654	Q16850	93.4	503	1
Q60182	P12425	53.5	438	1
P54687	O15382	56.1	383	1
Q9Y924	P23381	27.9	365	1
O59425	O28362	34.9	81	1
P23228	P17425	84	520	1
P46439	P21266	71.8	217	1
P32921	P23381	90	471	1
Q27743	Q07841	28.8	295	1
P10613	Q64654	35.2	481	1
P37146	P69924	20	297	1
O95622	Q04400	95.4	1259	1
P56526	Q9C0Y4	44	923	1
P97697	P09467	11.6	239	1
Q57991	P26512	30.5	393	1
O15992	P16641	42.9	686	1
Q02555	P0A7Y0	23.7	208	1
P42321	P04040	51.4	479	1
P06526	P09838	80.1	509	1
Q59266	O66937	43.1	472	1
Q9Y463	Q9Z188	97.2	629	1
Q9JIY5	P20231	13.8	226	1
O59952	O42807	26.6	260	1
P09104	P06733	83.9	431	1
Q43155	P23225	83	1515	1
O88508	P26358	10.4	792	1
P80147	P50554	91.4	500	1
O73984	Q9NSD9	28.4	549	1
O29610	P76251	27.5	339	1
P46925	P39898	65.5	452	1
Q02068	Q03217	54.8	320	1
P22411	P27487	88.3	766	1
P31572	P76518	22.1	367	1
Q26998	P70881	35.7	205	1
Q56586	Q9KPS1	86.5	446	1
P17743	Q58895	12.6	150	1
P25325	P97532	84.8	297	1
P28650	Q96529	45.6	450	1
P22310	P35503	93.2	534	1
P19174	P16885	51.5	1166	1
P0A1P6	P77961	55.6	469	1
P00433	Q02567	14.7	272	1
P95468	P00509	45.2	391	1
Q13163	Q63980	35.4	315	1
P70645	Q13867	93.5	453	1
Q64725	P48025	97.2	629	1
O66990	P77671	27.4	404	1
P29114	Q06327	55.9	846	1
Q9LA06	P20231	9.8	216	1
P25516	Q23500	52.2	875	1
P08842	P34059	29.1	470	1
P07962	Q49605	61.7	544	1
P07686	P49010	29.5	471	1
P49050	P08619	45.2	828	1
P54762	P54753	67	943	1
Q01330	P31922	10.3	364	1
Q9Y5K5	P15374	25.5	209	1
P51567	P49760	41.4	395	1
O28050	O59651	54.9	717	1
P46419	P46439	46.9	213	1
P70677	P42574	86.6	277	1
P29294	Q28824	87.5	1145	1
P00374	P00375	89.8	187	1
P09917	P48999	93.4	674	1
P13382	P95690	15.8	777	1
P05986	P40376	47.2	387	1
P54818	O02791	82.5	677	1
P26876	P08658	43.6	284	1
Q13907	Q42553	51.5	227	1
Q9NQ66	P10687	97.3	1216	1
P14091	P16228	83.5	394	1
P43251	O95497	40	476	1
O15305	Q92871	68.1	239	1
P26827	P30921	68	709	1
P10619	P16675	86.8	474	1
P22894	P03956	56.9	464	1
Q92851	Q14790	31.6	435	1
P09237	P09238	45.2	258	1
P30538	Q01401	22	599	1
Q06327	P29114	55.7	849	1
Q9V1A5	Q9WZW0	30	267	1
P48318	Q05329	64.2	584	1
Q9NTI2	P98200	94.5	1148	1
Q49168	P21348	76.4	297	1
P12007	P26440	89.9	421	1
P22033	P11653	58.3	718	1
Q9WVC6	O00141	96.5	431	1
P45251	Q9ZFK4	66.7	281	1
P0ABQ4	P13955	35.2	155	1
P37945	P0A9M0	55.2	771	1
P16575	P30855	27.3	1176	1
O80840	O15305	60.4	244	1
P00598	P00596	95.8	146	1
P12995	P22256	27.1	404	1
P19262	P10515	24.4	413	1
Q9Y948	P0A6L0	22.3	219	1
P80196	P80022	59.8	223	1
P0A817	P31153	57.6	368	1
P56772	P80244	41.1	189	1
P53164	P77788	17.6	129	1
P49327	P22367	15.9	1523	1
Q11203	Q02734	97	374	1
Q46938	P42413	15	206	1
P28784	P95493	60	731	1
Q9UYD1	O58214	81.8	192	1
P17425	Q01581	94.8	520	1
P35790	Q9HBU6	25	394	1
O26157	P56926	29.1	460	1
P19754	Q08828	91.7	1119	1
Q46372	P37333	75.8	457	1
P49183	P11936	78.5	284	1
P22133	Q07841	20.1	293	1
P49448	P26443	93.9	558	1
P36594	Q980R2	42.6	840	1
P29253	P0A7Y4	55.4	145	1
P31723	O60476	32.1	442	1
Q39021	Q39024	54.2	356	1
P24295	P00370	53.2	441	1
P50295	P50294	81.7	290	1
P08183	P12866	25.1	1217	1
Q99895	Q9UNI1	50.8	242	1
P08922	P07332	41.3	264	1
P21397	P21396	87.2	526	1
Q9S725	Q42524	81.4	554	1
P97564	P10349	10.2	380	1
Q58822	O28190	45.7	305	1
O05510	P54495	25.5	274	1
Q9UK80	P40818	24.6	513	1
P0AES6	O05207	11.8	349	1
P21954	P33198	60.9	416	1
P20142	P00794	43.1	366	1
Q08387	P49917	22.7	815	1
P48449	P48450	84.3	732	1
P26637	P96142	14.6	752	1
Q9R117	P03949	32.3	264	1
P20595	P20594	39.6	247	1
P38627	P28274	78.8	566	1
O66615	Q9UWU1	33.6	113	1
P70080	P17752	86.8	439	1
P14654	P14656	85.6	356	1
P07934	P11275	37	258	1
O58966	Q9Y9L0	55.7	213	1
P00947	P07445	33	125	1
Q59007	Q60326	35.6	387	1
Q07412	P48491	47.5	247	1
P14756	Q00971	48.8	487	1
P32350	P51567	32.8	393	1
P33038	Q9R4E4	21.5	401	1
P00830	P10719	73.7	503	1
O28190	Q58822	45.7	305	1
P54802	P04062	10.4	295	1
P29144	Q64514	95.3	1249	1
P24268	P18242	90.9	407	1
Q92729	Q15262	58.2	1381	1
Q9S400	Q9R4E4	41.2	421	1
P53682	Q13554	37.6	299	1
P77485	P45336	20.6	428	1
O93295	Q9MYU4	40.6	486	1
P33643	P53294	19.6	283	1
P45066	P17952	66.2	472	1
P00915	P16015	55.1	259	1
P28037	O75891	91.7	902	1
P0A6W9	P48506	12.3	405	1
P07955	P11560	57.9	432	1
P32785	P23882	22.6	296	1
P15454	Q16774	51.9	179	1
Q04468	P93147	27.5	478	1
P32950	P32951	54.9	366	1
P81054	P81055	61.3	168	1
P0A9M0	P37945	55.2	772	1
P80148	P21553	57.6	374	1
P08311	P18291	55	242	1
Q08493	P54748	63.3	689	1
O35952	Q16775	84.7	308	1
P35228	Q06518	80.5	1147	1
P53780	P32929	40.4	379	1
P15104	P15105	94.6	373	1
Q03426	Q9R008	81	395	1
P98005	P98002	41.4	516	1
P39461	P08417	38.5	429	1
P33447	P04694	38.5	401	1
O60231	Q08211	27.6	608	1
P97821	P53634	77.7	462	1
Q42525	P33284	34.6	445	1
P19367	P33284	32.7	439	1
P32929	P31373	50.8	383	1
P29468	P25500	37.4	524	1
P26512	Q57991	30.5	393	1
P30085	P20425	50.7	187	1
O66726	P05654	40.9	280	1
Q9HBU6	P35790	24.8	411	1
P00800	Q00971	25	477	1
P00362	O34425	61.8	333	1
P13516	P07308	92.7	355	1
Q96291	P35704	63.6	188	1
