query	target	bits	fident	alnlen	lddt	ttmscore	alntmscore	cigar	query_ec	target_ec	ungapped_alnlen	ec_match
P22567	P22567	3813	1.0	432	1.0	1.0	1.0	432M	2.3.1.1	2.3.1.1	432	True
P22567	P58314	46	0.129	354	0.2539	0.2468	0.2468	15M1D4M1I6M4D2M1D4M4D14M11D5M7D6M4D10M13I2M2D6M11I4M14I8M3I3M3I5M12I1M6D23M5D2M5I4M2D3M3D14M24D2M4I4M8I1M2I2M12I2M1I9M1D2M2I7M4D3M1D10M	2.3.1.1	4.1.2.13	183	False
P22567	P53178	55	0.132	272	0.265	0.2963	0.2963	8M3I14M6D17M2D17M6I3M5I5M27I3M2I10M23I4M1D3M3I4M12I14M3I3M13I4M1I7M8D8M1D11M2I10M1I8M	2.3.1.1	2.4.1.141	153	False
P22567	Q9Y2B2	43	0.161	192	0.2763	0.1642	0.1642	18M1D9M2D3M3I8M3I12M7D1M3D5M1D10M8D7M1I10M3I10M11I7M6I2M1I11M7I1M1D12M1D2M4D1M	2.3.1.1	3.5.1.89	129	False
P22567	P23526	33	0.115	285	0.2335	0.08737	0.08737	16M2D11M4I12M3I10M1D2M3D15M18D9M4D19M20D4M14D3M14D17M7I5M15I11M1D4M2I4M8D2M2I4M4I7M1I7M	2.3.1.1	3.3.1.1	162	False
P22567	Q50539	31	0.1	317	0.2297	0.1178	0.1178	8M2I8M1I2M3I5M1I11M10D14M3D4M2D6M3D7M7I11M18I3M1I2M1D3M23I21M9I3M1I6M2D15M1D4M3I5M6I9M2D2M5I6M2I2M2I1M4I3M11D2M6D3M2I9M1D5M1I4M	2.3.1.1	2.1.1.245	184	False
P22567	P54989	29	0.128	311	0.211	0.112	0.112	11M3I8M5D15M11D11M2D6M1D7M2D6M6D5M1D15M2I3M3D12M8D6M3D7M5I1M8D1M7I19M9I3M1D4M2I6M11I7M1I11M4I4M22I14M2I1M4D5M	2.3.1.1	1.14.14.10	188	False
P23526	P23526	3760	1.0	432	1.0	1.0	1.0	432M	3.3.1.1	3.3.1.1	432	True
P23526	P80175	111	0.19	131	0.5286	0.2552	0.2552	11M7I9M1I26M1D20M1D3M1D6M9D14M2D2M1I17M	3.3.1.1	1.1.99.36	108	False
P23526	P39849	79	0.16	231	0.4129	0.2712	0.2712	4M4I10M2D26M1D20M1D2M5D9M5D13M1I18M4I2M5I10M10I1M4D17M12I18M3I5M2I17M	3.3.1.1	1.1.1.90	172	False
