query	target	bits	fident	alnlen	lddt	ttmscore	alntmscore	cigar	query_ec	target_ec	ungapped_alnlen	ec_match
P48999	P48999	6059	1.0	674	1.0	1.0	1.0	674M	1.13.11.34	1.13.11.34	674	True
P49333	P49333	5914	1.0	738	1.0	1.0	1.0	738M	2.7.13.3	2.7.13.3	738	True
P49333	P30855	741	0.184	655	0.6157	0.283	0.283	8M2I29M7I11M5I9M3I3M10I4M15D8M2D8M6I17M9D10M9I6M3I10M33I8M4I64M1D54M2I4M2D39M11I39M2I24M1I17M6I57M3D3M2I25M5I55M	2.7.13.3	2.7.13.3	512	True
P49333	P21865	421	0.168	619	0.5688	0.218	0.218	34M2D8M1D9M9D11M9D28M25I46M2I3M1D11M1I3M3I7M3I15M2I14M9I6M11I4M3I11M7I5M6D27M15I31M3D11M1I54M5I2M2D7M2I3M1D27M1I12M14I27M2I30M2D5M5I8M6D7M	2.7.13.3	2.7.13.3	466	True
P49333	P30847	345	0.193	397	0.5448	0.4012	0.4012	20M7I7M6I2M5I6M2I6M7D3M3D25M1D16M18D11M2D10M2I21M4D7M4I8M1D56M1I4M1I26M1D6M2I6M14I60M1I15M	2.7.13.3	2.7.13.3	315	True
P49333	Q01062	147	0.132	227	0.5527	0.1526	0.1526	13M1I70M4D4M4D7M7I9M1I2M11I14M2I5M1D29M3I14M5I21M	2.7.13.3	3.1.4.17	188	False
P49333	P52687	134	0.123	452	0.4023	0.1914	0.1914	15M3D1M1I8M1I3M1D2M7I1M10I12M11D2M1D19M3D11M6I4M5I10M33I13M14I16M1I14M4I7M2I16M6D8M17I8M4I6M7D8M6I19M3D12M12I4M2I26M5I28M1I13M	2.7.13.3	2.7.13.3	286	True
P49333	P77510	134	0.124	579	0.4126	0.2219	0.2219	15M6D5M3I1M1D26M8I19M3D5M4I6M10I15M1I1M12I25M1D33M1D8M2I7M21D4M69D26M5I5M5D26M13I3M5D15M3D5M3D10M2I19M3D4M2D6M4I2M10I6M2I26M3I28M1D5M4I16M	2.7.13.3	2.7.13.3	372	True
P49333	Q9NRA0	48	0.103	328	0.2646	0.1152	0.1152	5M2D10M10D3M8D5M4D12M9I6M13D8M15I1M4D4M1I4M1D25M15D21M4D17M4D1M2D8M3D10M1D7M6I6M3I12M7D7M3D5M3D4M5I3M4I6M1D3M3I4M	2.7.13.3	2.7.1.91	197	False
P49333	Q9JIA7	45	0.104	259	0.2374	0.09092	0.09092	9M14D21M2D1M9D3M10I3M1D7M3D1M10I8M10I2M10I5M5I7M2I3M5I6M1D5M1I10M10D11M3D10M1D7M1I5M5D4M4D6M10I8M	2.7.13.3	2.7.1.91	142	False
P49333	Q9UHN1	40	0.134	358	0.255	0.08406	0.08406	16M3I10M8D1M26I13M2I7M36I11M1D26M5I4M4D2M5D2M2D5M1I9M3D4M9D3M13D6M4D7M3I17M12D11M2I11M2D4M1I10M2D12M3D4M6D10M	2.7.13.3	2.7.7.7	205	False
P49333	Q9Z1K9	33	0.122	295	0.2088	0.053	0.053	8M12I6M22I3M24I8M6D5M4I6M2D6M14D8M5D1M8D6M1D4M2I5M1D3M4I3M10D9M21D6M9D5M5I7M3I2M2I4M8D2M1D12M4I8M	2.7.13.3	3.4.24.86	127	False
P51094	P51094	3987	1.0	456	1.0	1.0	1.0	456M	2.4.1.115	2.4.1.115	456	True
P51094	P00512	51	0.124	201	0.2683	0.1949	0.1949	7M2D4M6I15M6D2M3I9M7D3M2D4M1D8M15I4M5I3M2I15M2I6M2D20M2I3M15D8M1D8M5I6M	2.4.1.115	2.7.1.11	125	False
