query	target	bits	fident	alnlen	lddt	ttmscore	alntmscore	cigar	query_ec	target_ec	ungapped_alnlen	ec_match
O24174	O24174	4659	1.0	505	1.0	1.0	1.0	505M	1.2.1.8	1.2.1.8	505	True
O24915	O24915	2078	1.0	231	1.0	1.0	1.0	231M	3.2.2.30	3.2.2.30	231	True
O26010	O26010	1284	1.0	157	1.0	1.0	1.0	157M	2.7.7.3	2.7.7.3	157	True
O35831	O35831	4025	1.0	523	1.0	1.0	1.0	523M	2.7.11.22	2.7.11.22	523	True
O35831	P48609	1250	0.547	292	0.7814	0.8935	0.8935	39M1D157M1D35M5I3M3D5M1D42M	2.7.11.22	2.7.11.22	281	True
O35831	Q15131	925	0.364	346	0.7173	0.7497	0.7497	6M3D37M1D32M2D216M2D12M12I5M1I17M	2.7.11.22	2.7.11.22	325	True
O35831	P41808	755	0.335	307	0.6861	0.6394	0.6394	23M2D15M1D18M1D10M2D3M2D16M2I7M1D64M8D64M3I4M2D6M4D49M	2.7.11.22	2.7.11.24	279	True
O35831	P36583	452	0.174	499	0.6307	0.2472	0.2472	116M9I1M2I5M7I14M8I40M4D21M1D26M1D8M2I82M1I38M16I3M6I3M8I24M5D12M7I5M1I4M1I9M3I6M	2.7.11.22	2.7.11.13	417	True
O35831	P05696	450	0.205	370	0.5786	0.3686	0.3686	10M8D18M2I41M3D47M1D11M1I53M3D10M3I14M1I37M23I10M7I21M5D11M11I8M2D9M	2.7.11.22	2.7.11.13	300	True
O35831	P22607	370	0.168	468	0.553	0.2781	0.2781	19M3I32M5I10M11I9M15I22M5D17M2I15M5D25M1D11M15D60M2D18M1I24M1D14M22I13M7I29M1I7M1D24M2I20M	2.7.11.22	2.7.10.1	369	False
O35831	P11362	368	0.165	533	0.5548	0.2799	0.2799	20M9I5M1I8M3I12M5I16M9I6M10I9M34I6M10I2M1D24M5D17M2I15M5D25M1D14M15D57M2D18M1I24M1D14M22I13M7I29M1I4M2D15M4I30M	2.7.11.22	2.7.10.1	383	False
O35831	P21803	367	0.166	533	0.5715	0.2751	0.2751	20M11I11M3I19M6I32M14I3M11I4M19I1M15I22M7D10M2I5M2I15M5D25M1D11M10D3M5D53M2D22M1I24M1D14M22I13M7I29M1I4M2D14M3I29M	2.7.11.22	2.7.10.1	383	False
O35831	P22455	358	0.176	551	0.5817	0.2884	0.2884	10M7I21M6I10M11I26M20I14M40I6M9I28M5D4M2D6M2I5M2I15M5D27M1D8M10D3M5D55M2D21M1I24M1D14M22I12M7I30M2I5M12I9M2I18M2I4M	2.7.11.22	2.7.10.1	375	False
O35831	Q04589	330	0.172	540	0.536	0.2569	0.2569	20M9I5M1I8M3I12M5I16M9I7M10I11M9I5M19I3M15I22M5D17M2I15M5D27M1D12M15D57M2D18M1I24M11I2M8I3M4I11M2D10M7I29M1I2M5I5M6I6M5D6M4D23M	2.7.11.22	2.7.10.1	376	False
O35831	P08458	311	0.187	384	0.5841	0.4614	0.4614	11M2D82M1D16M1D47M6D2M1I3M3I3M3I15M1D24M27I11M1D10M2I3M1I34M5I5M1D9M25D29M	2.7.11.22	2.7.11.1	304	True
