query	target	bits	fident	alnlen	lddt	ttmscore	alntmscore	cigar	query_ec	target_ec	ungapped_alnlen	ec_match
P13717	P13717	2304	1.0	266	1.0	1.0	1.0	266M	3.1.30.2	3.1.30.2	266	True
P14080	P14080	3063	1.0	352	1.0	1.0	1.0	352M	3.4.22.6	3.4.22.6	352	True
P14080	P00785	1318	0.422	357	0.8106	0.7753	0.7753	7M2D21M5I2M3I46M1D30M2I8M3I2M2D62M2D21M1D118M1I18M	3.4.22.6	3.4.22.14	335	True
P14080	O70370	1095	0.348	330	0.7726	0.8189	0.8189	47M4D28M1I5M5I7M2D67M4D19M1D17M2D7M3I23M1D24M1D44M2I3M1I12M	3.4.22.6	3.4.22.27	303	True
P14655	P14655	3737	1.0	428	1.0	1.0	1.0	428M	6.3.1.2	6.3.1.2	428	True
P14655	P14656	2798	0.773	357	0.9599	0.9935	0.9935	6M1I350M	6.3.1.2	6.3.1.2	356	True
P14655	P09606	2006	0.53	358	0.8978	0.9183	0.9183	8M3I101M2I22M1I144M4D73M	6.3.1.2	6.3.1.2	348	True
P14655	P15105	1998	0.527	358	0.8977	0.9181	0.9181	8M3I101M2I22M1I144M4D73M	6.3.1.2	6.3.1.2	348	True
P14655	P0A6W9	51	0.131	410	0.2457	0.1757	0.1757	35M4I6M3D2M2D5M6I2M8D1M11D16M4D4M6I2M6D5M1D5M5I9M1I9M4I6M6I9M15D4M2D8M6D7M9D3M53D10M5D3M3D3M3I9M4I3M1D4M3D5M7D15M6D8M2D12M1D5M2D6M	6.3.1.2	6.3.2.2	221	False
P14655	P11792	40	0.16	199	0.3141	0.03842	0.03842	16M1I31M4I4M1I15M9I7M1I8M2I14M5I6M5I14M4I26M3I9M3D4M1D6M	6.3.1.2	2.7.11.1	160	False
P14655	P10933	38	0.177	186	0.408	0.06549	0.06549	30M7D9M1D2M2I5M1I8M3D6M1I2M13I1M1I3M16I5M6D10M3I3M3I5M12D8M2I2M9I7M	6.3.1.2	1.18.1.2	106	False
P14655	O88508	38	0.126	189	0.3994	0.03374	0.03374	31M1I16M20I7M1I5M1I2M15I20M1D11M9I9M2D4M12D4M2I4M2D10M	6.3.1.2	2.1.1.37	123	False
P14655	P14680	35	0.085	210	0.4044	0.04156	0.04156	33M6D17M7D15M3D12M4I11D7M1D3M8I4M14I8M2I6M4I5M1D4M2I10M10D8M1D4M	6.3.1.2	2.7.12.1	136	False
P14655	P33981	33	0.107	196	0.3508	0.03191	0.03191	42M3D9M2I17M11I24M7D6M6I8M8D11M3I7M2I8M1I1M10D10M	6.3.1.2	2.7.12.1	143	False
P14655	P35761	87	0.101	346	0.2758	0.04562	0.04562	36M4D6M3D9M2I17M11I24M7D6M2D7M3D4M3I10M3I8M2I8M1I1M10D10M5D1M2D4M19I3M13I5M1D1M33I12M1I10M14D17M1I7M	6.3.1.2	2.7.12.1	206	False
P14655	P14882	79	0.133	75	0.5568	0.03634	0.03634	39M2D28M3D3M	6.3.1.2	6.4.1.3	70	False
P14655	Q13554	76	0.129	170	0.3105	0.05232	0.05232	37M4D21M8I4M1I2M10I30M4I7M5I13M5I9M1D9M	6.3.1.2	2.7.11.17	132	False
P14655	P22518	72	0.096	238	0.3533	0.07065	0.07065	60M2D5M5D8M8I17M6D17M20D8M4I6M4I5M1D4M2I4M2D4M4D2M5D7M1D5M6D3M1I6M4D2M	6.3.1.2	2.7.12.1	163	False
P14655	P00390	72	0.175	57	0.5878	0.05174	0.05174	22M2I33M	6.3.1.2	1.8.1.7	55	False
P14655	P11155	71	0.17	94	0.5514	0.02877	0.02877	7M2D16M13D26M1I8M13I8M	6.3.1.2	2.7.9.1	65	False
P14655	P10349	70	0.062	80	0.5333	0.05181	0.05181	23M1D21M5D14M2D14M	6.3.1.2	2.3.1.15	72	False
P14655	Q39735	70	0.177	107	0.5279	0.02671	0.02671	34M1I10M4I2M1I7M27I21M	6.3.1.2	2.7.9.1	74	False
P14655	Q91604	69	0.13	69	0.5526	0.04457	0.04457	51M1D11M2I4M	6.3.1.2	2.7.11.1	66	False
P14655	Q39734	69	0.168	95	0.5166	0.03799	0.03799	8M2D10M1D11M4D14M2D17M13I3M2I2M1I5M	6.3.1.2	2.7.9.1	70	False
P14655	O64903	68	0.116	86	0.5417	0.08624	0.08624	51M3I11M7I5M1D2M1I5M	6.3.1.2	2.7.4.6	74	False
P14655	P29294	63	0.137	167	0.3205	0.02362	0.02362	50M4D8M6I7M10I25M1D10M1I8M4I6M1I7M4I6M2D7M	6.3.1.2	2.7.11.18	134	False
P14655	P47923	62	0.095	94	0.4995	0.05912	0.05912	43M3D14M3D11M2D8M1I3M1I5M	6.3.1.2	2.7.4.6	84	False
P14655	Q04400	62	0.142	154	0.3548	0.01941	0.01941	23M2D38M3I7M9I4M1D21M5D5M2I13M4I7M3D7M	6.3.1.2	4.6.1.1	125	False
P14655	O35492	60	0.12	150	0.3408	0.0327	0.0327	8M5D7M1I30M2I12M5I5M12I8M1D2M1D20M6I5M5I15M	6.3.1.2	2.7.12.1	112	False
P14655	P49761	60	0.162	160	0.3413	0.03833	0.03833	11M1D44M5D18M8I7M1D16M4D7M6I8M3I9M1D3M3D5M	6.3.1.2	2.7.12.1	128	False
P14655	O35491	59	0.08	225	0.3446	0.06092	0.06092	61M2D3M1D9M8I12D11M2D23M17D8M4I6M4I5M1D4M2I5M1D5M15D16M	6.3.1.2	2.7.12.1	156	False
P14655	Q28824	56	0.151	191	0.3069	0.02527	0.02527	9M11D41M4D10M4I8M9I3M5D7M4D7M1I9M2D3M7I7M4I6M3D10M2I8M2D5M	6.3.1.2	2.7.11.18	133	False
P14655	P69327	53	0.136	88	0.4931	0.03259	0.03259	17M3D10M1D16M3I11M13I14M	6.3.1.2	3.2.1.3	68	False
P14655	P49759	51	0.078	229	0.3297	0.05616	0.05616	29M1D8M30D20M5I7M11I27M3D6M6D8M4I6M4I5M1D4M2I5M1D5M10D7M1D6M1I6M	6.3.1.2	2.7.12.1	149	False
P14655	P49760	51	0.093	236	0.2997	0.05436	0.05436	21M3D11M1D22M4D8M2D2M5D9M6I4M10D9M2D20M1D3M17D8M4I6M4I5M1D4M2I5M1D5M15D16M	6.3.1.2	2.7.12.1	158	False
P14655	P22637	51	0.166	78	0.4529	0.0423	0.0423	25M1D27M10I6M1I8M	6.3.1.2	1.1.3.6	66	False
P14655	P50579	50	0.113	193	0.3788	0.04224	0.04224	9M2D43M2I16M5D3M8I31M8D9M8I8M14I6M7I14M	6.3.1.2	3.4.11.18	139	False
P14655	Q14289	50	0.086	207	0.3572	0.03574	0.03574	20M1D14M1D18M1D8M25D11M12I26M9I2M9I3M4I5M10I8M9D11M	6.3.1.2	2.7.10.2	126	False
P14655	O35493	49	0.114	254	0.2936	0.06334	0.06334	8M2I7M2I27M3I10M24D6M2D8M8I18M2D16M22D8M4I6M4I5M1D4M2I4M2D4M9D9M1D6M5D9M4D2M	6.3.1.2	2.7.12.1	157	False
P14655	Q07407	45	0.086	208	0.3586	0.03461	0.03461	21M10D30M2I5M24I21M3D4M1I4M4D8M7D2M4D3M10D3M3D19M12D8M	6.3.1.2	2.7.10.1	128	False
P14655	P08475	33	0.111	295	0.2421	0.1434	0.1434	10M1I25M41I13M6I6M8I5M1I4M7I7M9I5M3I7M1I6M3I6M16I5M5D3M13I5M8I2M3I6M2I16M1I9M5I2M10I10M	6.3.1.2	4.1.1.39	152	False
P14656	P14656	3275	1.0	356	1.0	1.0	1.0	356M	6.3.1.2	6.3.1.2	356	True
P14656	P14655	2842	0.773	357	0.9895	0.8269	0.8269	6M1D350M	6.3.1.2	6.3.1.2	356	True
P14656	P09606	2102	0.544	356	0.9254	0.9162	0.9162	7M3I102M2I21M1I144M4D72M	6.3.1.2	6.3.1.2	346	True
P14656	P15105	2086	0.539	356	0.9258	0.9161	0.9161	7M3I102M2I21M1I144M4D72M	6.3.1.2	6.3.1.2	346	True
P14656	P0A6W9	54	0.128	398	0.25	0.1703	0.1703	35M4I6M3D2M2D5M6I2M8D1M11D16M4D4M6I2M6D5M1D5M5I9M1I9M4I6M6I9M15D4M2D8M6D7M9D3M53D10M5D3M3D3M3I9M4I3M1D4M3D5M7D15M6D8M2D12M1D1M	6.3.1.2	6.3.2.2	211	False
P14680	P14680	5737	1.0	807	1.0	1.0	1.0	807M	2.7.12.1	2.7.12.1	807	True
P14680	P49759	860	0.218	562	0.6924	0.6215	0.6215	22M2I20M1I8M30D44M27I15M11I16M4I23M1D34M1I84M17D94M4I7M4D3M10I6M10I9M10I5M6I34M	2.7.12.1	2.7.12.1	424	True
P14680	P22518	839	0.226	551	0.6658	0.6105	0.6105	54M5I6M16D20M2I22M20I20M1I21M4I20M1D35M1I81M8D2M9D95M4I7M4D3M10I6M10I11M7I3M9I34M	2.7.12.1	2.7.12.1	440	True
P14680	O35493	816	0.226	544	0.6678	0.612	0.612	47M28D2M5I15M1D21M14I15M2I5M7I15M4I23M1D35M1I81M8D2M9D95M4I7M4D3M10I6M10I9M2I5M14I34M	2.7.12.1	2.7.12.1	420	True
P14680	O35491	790	0.211	606	0.6461	0.5761	0.5761	19M10I13M3I33M8I6M6D9M9D12M3I22M18I14M12I13M2I5M2I20M1D34M1I85M17D94M4I6M4D4M8I6M22I12M6I34M2D4M6I6M2I9M	2.7.12.1	2.7.12.1	460	True
P14680	P49760	769	0.217	583	0.6377	0.5777	0.5777	15M1D16M3I37M13D17M7I8M2I23M17I14M12I13M2I5M2I20M1D35M1I84M17D94M4I6M4D4M8I6M22I12M6I34M2D16M	2.7.12.1	2.7.12.1	459	True
P14680	O35492	645	0.187	736	0.6455	0.4478	0.4478	46M1D15M32I22M8I51M10D46M1D18M9I32M1D20M16I12M4I6M6I13M2I5M2I20M1D35M1I81M17D98M1I2M3D7M13I6M19I15M6I33M	2.7.12.1	2.7.12.1	583	True
P14680	P49761	642	0.193	728	0.6249	0.4549	0.4549	44M2I16M23I30M7I11M1I53M4D33M1D32M4I9M1I33M18I15M11I13M2I5M2I20M1D35M1I81M17D98M1I2M3D7M12I7M20I14M6I33M	2.7.12.1	2.7.12.1	591	True
P14680	P11275	454	0.209	354	0.6131	0.482	0.482	40M1D2M2D18M7I26M1D11M2I44M1D12M3D60M17I3M50I5M5I3M1I12M3I25M	2.7.12.1	2.7.11.17	261	False
P14680	Q91604	357	0.151	567	0.5191	0.4933	0.4933	31M13I13M2I2M28I5M2I34M2I3M1I9M1D24M2D63M1I4M1I12M1I5M6D18M1D3M1D29M14I7M53I10M3I4M10I25M1I10M25D32M4I12M7I33M	2.7.12.1	2.7.11.1	388	False
P14680	Q13554	348	0.167	508	0.5951	0.3516	0.3516	40M3D18M7I26M1D11M2I44M1D12M3D60M17I3M50I5M5I3M1I2M2I5M1I30M7D5M44D50M4D5M2I39M	2.7.12.1	2.7.11.17	358	False
P14680	Q13163	346	0.193	352	0.516	0.4478	0.4478	10M2I47M5I32M1D6M6I44M2I12M1D52M9I6M2I9M7I3M24I9M12I3M17I31M	2.7.12.1	2.7.12.2	264	True
P14680	P10506	295	0.166	445	0.5021	0.5736	0.5736	22M7D11M4D13M15I8M18I21M2I9M2D18M7I28M1D11M2I24M1D15M2I9M3D3M3I5M1D44M7I9M5I8M1D10M45I3M17I31M	2.7.12.1	2.7.12.2	302	True
