query	target	bits	fident	alnlen	lddt	ttmscore	alntmscore	cigar	query_ec	target_ec	ungapped_alnlen	ec_match
O04905	O04905	1616	1.0	202	1.0	1.0	1.0	202M	2.7.4.14	2.7.4.14	202	True
O04905	P20425	951	0.553	186	0.9057	0.9149	0.9149	103M2D21M2D58M	2.7.4.14	2.7.4.14	182	True
O04905	P30085	837	0.526	192	0.8595	0.8851	0.8851	44M1D27M5D32M2D21M2D58M	2.7.4.14	2.7.4.14	182	True
O04905	Q9Y3D8	160	0.171	192	0.5186	0.6224	0.6224	51M8I1M2D19M3I5M5D2M9I4M4I22M5I11M3I12M4D11M1I10M	2.7.4.14	2.7.4.3	148	True
O04905	O60231	48	0.122	262	0.2888	0.0756	0.0756	7M3I4M1I3M1D17M6D3M16D10M5I8M6D33M2I3M1I14M40D14M12I6M2I7M10I1M4D9M4I10M	2.7.4.14	3.6.4.13	149	False
O15992	O15992	6442	1.0	715	1.0	1.0	1.0	715M	2.7.3.3	2.7.3.3	715	True
O15992	P16641	2151	0.429	717	0.7857	0.4687	0.4687	12M1I41M1I34M1D3M1D216M3I29M2I10M6D3M8D9M1D42M1I35M1D2M1D193M1D18M3I39M	2.7.3.3	2.7.3.4	686	True
O15992	P51545	1683	0.508	356	0.8273	0.9346	0.9346	15M1D80M1D4M1I192M1D22M3I36M	2.7.3.3	2.7.3.3	349	True
O15992	P51541	1605	0.519	364	0.7905	0.8822	0.8822	14M3I5M1D3M2I77M1D10M1I184M1D24M3I35M	2.7.3.3	2.7.3.3	352	True
O29362	O29362	2645	1.0	305	1.0	1.0	1.0	305M	4.6.1.16	4.6.1.16	305	True
O42807	O42807	2458	1.0	281	1.0	1.0	1.0	281M	3.1.1.73	3.1.1.73	281	True
O42807	O59952	547	0.266	304	0.6728	0.7097	0.7097	22M3I21M3I11M18D7M4D42M2I56M1D5M1I21M6I35M4D15M1D5M1I20M	3.1.1.73	3.1.1.3	260	True
O57728	O57728	8871	1.0	964	1.0	1.0	1.0	964M	3.6.3.14	3.6.3.14	964	True
O58801	O58801	2531	1.0	277	1.0	1.0	1.0	277M	2.7.1.23	2.7.1.23	277	True
O59952	O59952	2564	1.0	291	1.0	1.0	1.0	291M	3.1.1.3	3.1.1.3	291	True
O59952	O42807	567	0.266	304	0.6802	0.7335	0.7335	22M3D21M3D11M18I7M4I42M2D56M1I5M1D21M6D35M4I15M1I5M1D20M	3.1.1.3	3.1.1.73	260	True
O59952	P40376	38	0.129	124	0.2951	0.05276	0.05276	26M26D17M4I8M1I9M4I16M2I11M	3.1.1.3	2.7.11.11	87	False
O59952	P05986	77	0.112	116	0.3266	0.07528	0.07528	25M19I10M14D11M4I16M2I15M	3.1.1.3	2.7.11.11	77	False
O59952	P13382	42	0.11	109	0.3206	0.0269	0.0269	17M4D9M20I19M3I15M2D10M1D9M	3.1.1.3	2.7.7.7	79	False
O59952	P06239	33	0.11	127	0.2785	0.03918	0.03918	7M8D19M24I20M2D7M5D5M2D1M1D3M7D11M2I3M	3.1.1.3	2.7.10.2	76	False
O59952	P07948	32	0.136	132	0.2948	0.0352	0.0352	17M14D9M21I13M3I2M1I4M1D6M5D6M2D1M1D3M7D11M2I3M	3.1.1.3	2.7.10.2	75	False
O59952	P32491	28	0.132	159	0.266	0.05006	0.05006	27M14I5M11D9M2D3M4D3M3D6M6D20M8D10M6I9M4D9M	3.1.1.3	2.7.12.2	101	False
O59952	P32490	27	0.107	177	0.1949	0.05574	0.05574	6M9D18M3D6M4D2M1D10M1I11M2I9M12D4M4D18M8D10M6I9M4D10M4I6M	3.1.1.3	2.7.12.2	119	False
O59952	P00528	27	0.117	136	0.2385	0.03925	0.03925	11M5D16M13I8M14D6M4I12M1D7M5D5M2D1M1D3M8D14M	3.1.1.3	2.7.10.2	83	False
