query	target	bits	fident	alnlen	lddt	ttmscore	alntmscore	cigar	query_ec	target_ec	ungapped_alnlen	ec_match
O04904	O04904	3308	1.0	377	1.0	1.0	1.0	377M	3.5.2.3	3.5.2.3	377	True
O04904	P26997	54	0.136	382	0.2615	0.2407	0.2407	12M8I2M13I9M1D10M1D9M1D8M1I3M1I6M1D6M1D5M7D3M13D10M1I11M6I5M1D15M15I2M2I6M2I4M5I8M10D4M1D9M1I3M4D6M8I11M14I9M2I4M5D2M5D3M3I9M9I5M1I8M15D7M2I3M1D4M	3.5.2.3	5.3.1.5	221	False
O04904	P42575	44	0.148	222	0.3108	0.109	0.109	25M6D5M3I4M3I2M6D2M4I10M3I2M1D6M4I3M14D8M1I4M6I23M3D7M2D7M2D11M7D2M2D3M4I3M2I7M5D10M	3.5.2.3	3.4.22.55	144	False
O04904	P55264	54	0.089	292	0.3163	0.171	0.171	22M4D8M14D7M3I5M25D2M1I11M1D4M6I3M2D14M5I6M9D1M3D1M1I3M7D2M6D4M4D15M2I2M12I1M6D19M5I4M1I3M5I16M1D5M3I8M	3.5.2.3	2.7.1.20	166	False
O04904	P55263	54	0.103	290	0.3047	0.1715	0.1715	23M4D8M14D5M3I7M7D4M13D6M2I2M7D4M6I3M2D6M3I5M2I9M9D1M3D5M6D2M13D7M1I2M2I7M2I2M6I26M5I4M1I3M5I16M1D5M3I8M	3.5.2.3	2.7.1.20	170	False
O04904	P32170	53	0.107	409	0.2555	0.2775	0.2775	13M5D9M1I2M4D9M3D7M4D14M3I11M8D3M1D7M4D11M11D5M7I23M12D8M7I2M2D4M6D3M4I6M1I9M6D7M1D4M5I2M1D5M5I5M3I6M1I3M2I4M2I9M3I1M5D7M6I1M11I5M13D3M1D5M8D5M6D2M2D2M3D2M1D6M1I10M	3.5.2.3	5.3.1.14	240	False
O04904	P49010	51	0.107	278	0.2507	0.1477	0.1477	8M4D12M1D7M9D1M5D3M1D9M3D6M1I4M1I13M26D4M7D10M8D10M2I6M9I3M4D11M7I6M2I24M2D10M1I10M1D6M2D1M3D3M4I8M	3.5.2.3	3.2.1.52	175	False
O04904	Q42524	46	0.106	206	0.2913	0.1061	0.1061	22M1I5M2D4M3D3M5D10M16D4M4D4M7D6M6I9M3I5M1I5M2I5M3D3M4I18M1I3M3I1M8I7M3I10M2I8M	3.5.2.3	6.2.1.12	132	False
O04904	O15294	38	0.141	170	0.252	0.06765	0.06765	7M1I6M4D9M6D2M1I5M7I4M1D12M1D5M1D5M8I7M2I10M6I2M3D1M9I2M2I13M5I23M	3.5.2.3	2.4.1.255	113	False
O04904	Q9R088	37	0.125	254	0.2973	0.1439	0.1439	31M7I4M4I5M4I3M6I8M5I13M4I5M5I9M9D1M2I5M2D4M21I16M1D2M6D16M10D10M2I10M1D7M3D3M1I4M1D4M	3.5.2.3	2.7.1.21	160	False
O04904	Q9LZG0	37	0.094	244	0.2407	0.1662	0.1662	5M3I7M23D8M4D4M3I6M3I7M4I6M2I17M30D7M1I2M2I7M2I2M12I1M6D19M5I4M1I2M5I17M1D5M3I8M	3.5.2.3	2.7.1.20	134	False
O04904	P27707	34	0.103	262	0.2624	0.1489	0.1489	10M3I7M2I4M35I7M5I11M1I8M5I5M10D8M5D1M5D6M2D5M10I2M7I16M8D6M2I17M9D4M4D8M3D1M1D4M1I6M1D7M	3.5.2.3	2.7.1.74	143	False
O04904	P13264	24	0.118	414	0.2363	0.05401	0.05401	13M1D11M1D7M8I2M11I6M1D9M11I10M2I7M9I17M16I7M3D7M3D5M3D2M16I23M6I8M2I6M6I3M9D2M8D3M4D4M8D6M1D6M15D2M1D17M6D5M5D2M10I12M3I4M3I7M8D8M3D6M1D3M	3.5.2.3	3.5.1.2	230	False
O13310	O13310	3689	1.0	469	1.0	1.0	1.0	469M	2.7.11.1	2.7.11.1	469	True
O13310	P28829	488	0.244	319	0.6001	0.3496	0.3496	13M2D28M7D7M2I107M2I6M9I11M24I50M1I11M2I15M1D6M3I12M	2.7.11.1	2.7.11.25	266	True
O13310	P24604	356	0.199	316	0.5344	0.3611	0.3611	28M1I31M4I9M1D8M1I18M1D55M2I8M23I4M14I5M1I29M1D18M1I12M2I14M1D24M	2.7.11.1	2.7.10.2	263	False
O13310	P42681	331	0.2	315	0.541	0.4161	0.4161	30M1I20M4I20M1D7M1I17M1D54M2I8M16I12M22I29M1D19M3I25M1D21M	2.7.11.1	2.7.10.2	262	False
O13310	Q04736	318	0.19	321	0.5089	0.3934	0.3934	29M1I8M4D15M6I4M2I14M1I16M3D13M1I48M32I4M7I8M1I30M1D16M3I27M1D6M3I2M2D13M	2.7.11.1	2.7.10.2	253	False
O13310	P07332	312	0.196	326	0.5358	0.2611	0.2611	40M3D7M5I21M3D2M3I17M2D8M2I11M1D32M4I8M8I13M27I31M1D18M3I25M1D6M3I8M7I6M	2.7.11.1	2.7.10.2	253	False
O13310	P51451	310	0.188	334	0.5111	0.4128	0.4128	26M1I11M4D6M4I10M4I12M1D3M2I17M2D7M2I4M2D46M5I10M18I4M18I30M1D17M2I27M1D5M4I11M3I14M	2.7.11.1	2.7.10.2	260	False
O13310	P23291	298	0.207	347	0.5154	0.3888	0.3888	39M5I14M1D28M1I6M1I4M2D43M5D7M4I5M5I11M1D4M26I42M3D18M1I6M2D22M2D7M17D15M	2.7.11.1	2.7.11.1	271	True
O13310	Q02858	284	0.195	388	0.5005	0.1991	0.1991	30M2D7M4D4M2I10M1I4M2I35M13D5M3D53M3D4M15I5M12I2M18I30M1D17M1I12M2I14M1D6M3I8M7I3M1D3M1D6M8I6M13I11M	2.7.11.1	2.7.10.1	275	False
O13310	P21860	259	0.149	462	0.4838	0.1715	0.1715	12M2I22M3I17M7D6M3I2M2I1M14I33M4D7M3I19M1D18M1I17M1D55M10I6M29I43M1D18M1I11M2I15M1D6M3I5M2I5M4I5M2I9M12I22M	2.7.11.1	2.7.10.1	354	False
O13310	P03949	258	0.159	333	0.514	0.1724	0.1724	38M6I3M2D51M3I4M4D7M1D39M18I19M22I29M1D21M9I5M6D12M2D9M2I14M1D5M	2.7.11.1	2.7.10.2	256	False
O13310	Q62371	255	0.159	344	0.5125	0.25	0.25	27M12D5M4D10M2D14M4I11M1D8M1I17M3I1M12D56M4I13M16I2M19I29M1D3M1D18M1D3M3D23M1D7M1D11M	2.7.11.1	2.7.10.1	258	False
O13310	P48729	239	0.175	354	0.468	0.5463	0.5463	43M4D8M6I4M2I26M1I10M1D11M3D8M3I18M3I1M6D16M9I7M1D4M26I43M3D15M5D5M4I13M5D17M5D4M2I12M	2.7.11.1	2.7.11.1	265	True
O13310	P35590	239	0.164	479	0.473	0.1955	0.1955	10M2D38M1I13M15D1M20I5M10D29M2D9M2D18M3I35M13D7M4D10M1I40M3D4M15I5M30I32M1D17M3I28M2D13M10I8M2I18M	2.7.11.1	2.7.10.1	340	False
O13310	O86224	118	0.164	255	0.3069	0.3558	0.3558	4M2D3M1I11M1D6M13D1M1D3M5D19M7I7M2D5M1D4M3D8M1D10M1I6M3I3M1I26M2D3M1D7M7I2M16I9M3I5M6I9M9I7M1D4M1I5M	2.7.11.1	2.7.1.166	167	False
O13310	P35790	103	0.094	500	0.3071	0.2392	0.2392	17M39I9M9I13M6D9M1I20M7D7M12D11M2D6M4D8M2I11M4I8M2D8M6I15M17D2M1D4M14D2M26D14M3D3M3D21M6D1M7I7M3D14M6I7M10I4M3D5M1D8M2I7M9I8M1D6M4I10M1I3M10I11M	2.7.11.1	2.7.1.32	279	False
O14735	O14735	1460	1.0	213	1.0	1.0	1.0	213M	2.7.8.11	2.7.8.11	213	True
O14735	P07332	57	0.16	243	0.3037	0.06653	0.06653	14M3D5M19D14M3D10M1I6M2I16M9D10M6I49M1I22M3D4M7D33M2I4M	2.7.8.11	2.7.10.2	187	False
O14735	O15294	51	0.131	251	0.2945	0.0481	0.0481	9M6I2M7I7M4D3M3D14M5I11M10D11M2I9M2D4M1D6M2D7M1I7M3I16M1I12M6D10M4D3M8D7M2D19M3D10M4D10M	2.7.8.11	2.4.1.255	177	False
O15294	O15294	8680	1.0	1046	1.0	1.0	1.0	1046M	2.4.1.255	2.4.1.255	1046	True
O15294	P31723	73	0.078	471	0.3722	0.1805	0.1805	15M8D4M2D14M9I8M2D2M1D2M1D4M9D5M7I2M14I8M8I20M14D16M5D18M29D32M2D7M31D12M5D17M30D23M1I12M1I2M1I2M15D10M13D14M2D12M	2.4.1.255	3.2.1.113	261	False
O15294	P07332	64	0.05	418	0.2801	0.04312	0.04312	11M3I13M6I47M11I17M2I14M2D16M1I32M3I27M6I9M2I4M2I66M38D16M1D20M3D44M1I1M	2.4.1.255	2.7.10.2	337	False
O15294	O14735	62	0.042	235	0.3075	0.1535	0.1535	11M1I15M7I14M5D10M10I10M1I21M2I18M2D26M6I5M4I9M6D10M2I19M8I13M	2.4.1.255	2.7.8.11	181	False
