query	target	bits	fident	alnlen	lddt	ttmscore	alntmscore	cigar	query_ec	target_ec	ungapped_alnlen	ec_match
Q9HBH1	Q9HBH1	2019	1.0	243	1.0	1.0	1.0	243M	3.5.1.88	3.5.1.88	243	True
Q9HBH1	P27987	23	0.211	203	0.2277	0.02472	0.02472	18M1I30M9I3M13I3M5D9M2I3M8D7M1I8M8I2M11I6M3I5M11D19M7D11M	3.5.1.88	2.7.1.127	124	False
Q9HBH1	P42335	21	0.207	207	0.216	0.02655	0.02655	12M6D36M9I10M7I13M3D4M8D7M1I8M8I2M11I6M3I5M11D19M7D11M	3.5.1.88	2.7.1.127	133	False
Q9HBH1	P06784	55	0.134	119	0.2809	0.04318	0.04318	35M8D13M9I10M7I9M3D5M6D14M	3.5.1.88	2.7.12.2	86	False
Q9HBH1	P80030	50	0.142	91	0.2873	0.05723	0.05723	22M2D25M11I7M4I3M3I14M	3.5.1.88	1.3.1.9	71	False
Q9HBH1	P97564	48	0.131	99	0.3922	0.03714	0.03714	13M1I48M1I6M3I4M8I2M4D9M	3.5.1.88	2.3.1.15	82	False
Q9HBH1	Q9NQ66	46	0.111	117	0.2788	0.01664	0.01664	47M10I10M3I18M4D2M3D3M4D13M	3.5.1.88	3.1.4.11	93	False
Q9HBH1	P40818	43	0.11	235	0.2336	0.02286	0.02286	17M3D31M1I2M6I12M2I2M1I7M2D9M34D17M5I3M13I11M22D25M2D8M	3.5.1.88	3.4.19.12	144	False
Q9HBH1	P35968	42	0.108	175	0.2562	0.02451	0.02451	37M1D17M4I4M2I8M3I10M1I5M23I5M5I15M4I4M1D14M1D11M	3.5.1.88	2.7.10.1	130	False
Q9HBH1	P08619	40	0.138	108	0.27	0.01885	0.01885	16M7D20M3D12M10I5M2D10M1I11M6D5M	3.5.1.88	1.7.1.3	79	False
Q9HBH1	P18961	39	0.113	273	0.2245	0.04743	0.04743	48M9I13M1I17M18D2M8D7M9D10M7I2M2I3M4I4M4I4M6D7M5D11M2D14M1D5M2D9M5D13M3I12M1D5M	3.5.1.88	2.7.11.1	186	False
Q9HBH1	P35916	39	0.113	193	0.2308	0.01716	0.01716	4M3I41M10I15M1I6M7D9M14D8M6I9M22I1M7I30M	3.5.1.88	2.7.10.1	123	False
Q9HBH1	P00189	37	0.105	114	0.2971	0.03588	0.03588	35M3I8M18I7M5I11M8D1M2I16M	3.5.1.88	1.14.15.6	78	False
Q9HBH1	Q9UTN3	33	0.129	201	0.233	0.03026	0.03026	9M14D39M10I3M15I7M2I11M7I4M18I6M2I7M2I7M9D8M4D17M	3.5.1.88	2.7.7.19	118	False
Q9HBH1	P09838	31	0.148	189	0.302	0.05809	0.05809	7M2I17M4I3M18D23M6I13M12I17M11I2M1D9M3I3M14D24M	3.5.1.88	2.7.7.31	118	False
Q9HBH1	P48025	30	0.159	113	0.2619	0.02524	0.02524	6M4I9M2D2M6D17M1I9M9I5M3D3M7D9M10D11M	3.5.1.88	2.7.10.2	71	False
Q9HBH1	Q64725	27	0.15	200	0.2206	0.04467	0.04467	12M4I31M11I7M10I11M2I3M2I5M30I7M4D6M2D5M5I4M3D5M2D4M4D13M1I7M	3.5.1.88	2.7.10.2	120	False
Q9HBH1	Q9WVC6	26	0.143	153	0.1838	0.06259	0.06259	32M8I3M10I5M2D5M7D9M1D29M3D2M12D7M10I8M	3.5.1.88	2.7.11.1	100	False
Q9NQ66	Q9NQ66	9546	1.0	1216	1.0	1.0	1.0	1216M	3.1.4.11	3.1.4.11	1216	True
Q9NQ66	P37433	174	0.125	270	0.4594	0.137	0.137	5M2I18M3D39M3I3M7I15M1I21M2D4M3D10M1I10M4I7M2I9M6I15M4I8M1I44M1I22M	3.1.4.11	2.7.13.3	230	False
Q9NQ66	O88351	139	0.157	380	0.4292	0.09855	0.09855	12M18I3M3D9M11D8M2I17M1I43M2D4M9I7M1I5M14I4M3D8M1I2M3I5M2I5M9I1M2D11M1I22M4D24M6D20M1I21M4I13M2I17M1I6M2I6M2I3M	3.1.4.11	2.7.11.10	276	False
Q9NQ66	P18961	101	0.194	67	0.7763	0.04345	0.04345	8M5D54M	3.1.4.11	2.7.11.1	62	False
Q9NQ66	P42335	101	0.141	155	0.556	0.04453	0.04453	27M1I34M5I10M6I4M2I5M8I23M11I9M2I8M	3.1.4.11	2.7.1.127	120	False
Q9NQ66	P27987	95	0.121	165	0.5884	0.0334	0.0334	62M8I4M10I2M10I27M9I15M7D3M1D7M	3.1.4.11	2.7.1.127	120	False
Q9NQ66	P45336	91	0.092	345	0.4606	0.173	0.173	8M1D43M2D17M4D6M10I2M16D5M41D25M7I9M19I16M3D34M1D28M3D21M1I23M	3.1.4.11	2.7.13.3	237	False
Q9NQ66	P40719	87	0.098	305	0.4308	0.1452	0.1452	12M3I29M5D10M1D14M1I8M69D6M1D35M2D4M17D16M1D18M4I11M1D37M	3.1.4.11	2.7.13.3	200	False
Q9NQ66	P80030	84	0.168	77	0.6176	0.06267	0.06267	29M2I46M	3.1.4.11	1.3.1.9	75	False
Q9NQ66	P08619	83	0.147	95	0.6732	0.02775	0.02775	63M5I4M8D7M1D7M	3.1.4.11	1.7.1.3	81	False
Q9NQ66	P35916	83	0.241	87	0.7109	0.01777	0.01777	50M2I17M8D10M	3.1.4.11	2.7.10.1	77	False
Q9NQ66	Q9UTN3	77	0.103	636	0.4118	0.07453	0.07453	12M2I3M16I10M7D34M5D2M11D19M3D3M2I14M26D3M11D6M1I8M1I4M12D15M5D23M9D9M8D15M1I7M35D6M2D2M3I24M10D5M3D5M6D6M1I22M14D11M11D54M6D7M5I8M10D3M18D27M1D9M3D12M	3.1.4.11	2.7.7.19	388	False
Q9NQ66	P40818	73	0.152	445	0.4527	0.02852	0.02852	15M16I37M4D15M6D5M13D9M2I12M5I3M58I5M3D10M3D10M1I6M1I7M3I5M26I9M4I23M6I7M15I10M27I3M13I6M4I38M	3.1.4.11	3.4.19.12	235	False
Q9NQ66	P37146	72	0.138	353	0.4042	0.1454	0.1454	14M1I6M5D5M5I5M2D7M2I3M2D6M2I28M2D8M1D10M8I4M6D9M1I36M1D60M3D20M3D14M1I16M5I10M9I9M2D2M5I15M	3.1.4.11	1.17.4.1	287	False
Q9NQ66	P06784	66	0.105	521	0.4423	0.08236	0.08236	45M1I46M8D5M4I1M10D15M5D14M7D3M36D19M13D2M2I2M12D2M2D25M15I3M6I10M1I7M1I3M14D3M9D17M4D11M1I6M3I34M14D8M4D12M1D5M1D23M1I9M2I14M	3.1.4.11	2.7.12.2	344	False
Q9NQ66	Q55168	57	0.124	217	0.4145	0.06284	0.06284	5M1I19M5I16M24I6M1D31M4I4M8I31M6D20M11D25M	3.1.4.11	2.7.13.3	157	False
Q9NQ66	P23545	55	0.09	342	0.4202	0.08977	0.08977	73M1I18M13D2M6D14M11D13M43D37M3I5M6I36M9D18M18D16M	3.1.4.11	2.7.13.3	232	False
Q9NQ66	P45725	55	0.139	337	0.3663	0.06073	0.06073	24M3D8M2D2M11I6M2D3M3I19M3D3M7D2M4D7M2D20M4I3M6I30M4I2M2I17M8D8M12D33M16D1M2I4M6D1M8D12M1D4M8D4M3I7M	3.1.4.11	4.3.1.24	220	False
Q9NQ66	P00189	44	0.096	414	0.3933	0.05735	0.05735	42M10I9M2D10M9D12M20D10M8D12M11D11M10I5M4I13M1I10M2D3M11D11M18D7M6D6M11D6M1D2M6I24M8D11M3I16M11D8M2D32M	3.1.4.11	1.14.15.6	260	False
Q9NQ66	P35968	43	0.107	436	0.444	0.02916	0.02916	23M10D34M6I5M23I9M19I9M13D3M14D11M10D4M18I2M3D2M12I5M3I6M19I3M5I2M16I6M3D4M14I8M9D12M1I22M19I10M5D34M	3.1.4.11	2.7.10.1	214	False
Q9NQ66	P97564	32	0.081	725	0.3833	0.0457	0.0457	31M2I13M10D12M7D14M8D5M9I17M11D6M3D18M8I14M17D9M11D14M15D3M53D8M1D7M23D8M1D4M35D9M19D8M16D5M2D35M30D9M2D7M7D15M22D5M1I7M19D2M19D6M15D8M2D3M13D14M1D15M3I9M	3.1.4.11	2.3.1.15	340	False
Q9NQ66	Q9WVC6	46	0.115	234	0.441	0.06116	0.06116	10M3D25M5D3M3D5M3D16M3I11M1I10M4D9M11I10M1D4M8D2M4I23M28D9M3D20M	3.1.4.11	2.7.11.1	157	False
Q9NQ66	P16095	44	0.121	304	0.408	0.08067	0.08067	8M5I15M2I4M4D7M1D2M5D23M5I7D3M2D17M1D3M6I5M1D6M2I6M6D2M3D5M1D8M6D8M1D12M5D5M2I2M1I18M3D9M1D7M2D3M2D4M3I24M7D14M	3.1.4.11	4.3.1.17	220	False
Q9NQ66	P32684	43	0.089	167	0.4064	0.06117	0.06117	8M1D4M3I6M3I5M17D3M19D6M4I4M6I9M11I38M7I13M	3.1.4.11	5.4.99.21	96	False
Q9NQ66	P08017	41	0.059	370	0.3504	0.08218	0.08218	13M1D11M2D4M4I3M2I3M3D4M5I19M2D12M7D3M7D3M1D10M2I5M10I5M5I7M7I8M12D4M22D22M3D4M5D7M2I9M23D20M8I20M2D11M6D10M3D9M	3.1.4.11	3.2.1.3	226	False
Q9NQ66	Q64725	41	0.077	539	0.35	0.05495	0.05495	6M1D6M1I1M11I4M2I8M1I2M6I7M15I9M3D5M1D26M3D33M5D6M6D7M12D12M23D2M10D6M6I5M11I12M22D1M7I2M3D10M8I3M24I7M11I14M3D2M2D2M13D9M1I4M26D16M11D9M5D14M6I8M1I21M	3.1.4.11	2.7.10.2	279	False
Q9NQ66	P48025	36	0.068	439	0.3681	0.04446	0.04446	15M10D32M2I6M12D7M6D12M23D2M10D6M6I5M11I12M22D1M7I2M3D10M8I3M24I7M11I14M3D2M2D2M13D9M3D3M8D4M14D9M5I15M1D10M9D12M4D22M	3.1.4.11	2.7.10.2	222	False
Q9UTN3	Q9UTN3	4969	1.0	684	1.0	1.0	1.0	684M	2.7.7.19	2.7.7.19	684	True
Q9UTN3	P42335	106	0.183	261	0.4864	0.04138	0.04138	48M8I16M1D20M2D10M26D6M12D6M1D6M7I24M8D12M1D24M2D3M6I12M	2.7.7.19	2.7.1.127	187	False
Q9UTN3	P27987	92	0.161	241	0.4954	0.02735	0.02735	12M1D7M1D12M2D9M1D7M14I19M1D27M1D2M2D9M8I22M1I10M1I28M1D2M5I10M4D10M8I4M	2.7.7.19	2.7.1.127	190	False
Q9UTN3	P06526	89	0.122	465	0.4347	0.1619	0.1619	33M19D7M6I2M5I11M4D6M10D4M9D1M12D16M1D7M3D6M38D4M53D13M1D11M2D17M1I10M5I15M3I25M1I11M5I12M4D14M1D3M18D5M18D3M4I6M	2.7.7.19	2.7.7.31	242	True
Q9UTN3	P06784	88	0.119	654	0.3558	0.1191	0.1191	8M1I3M6I26M18D10M11I25M1D12M5I3M16I15M1I15M3I26M12I3M46I22M1I7M1D4M7I11M1D2M11D32M5I17M4I8M10I13M3D7M9I7M17I8M1D2M1I14M14D1M4I6M3I4M8D2M4I9M5D13M1I6M5D15M17D5M2D2M3D10M6D5M1D12M	2.7.7.19	2.7.12.2	390	False
